"id","strategy2"
101,"ich habe die EEE wörter in meinem Kopf wiederholt"
102,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
103,"Ich habe versucht die *EEE*-Wörter in eine Geschichte oder bzw. in einzelne Bilder einzufügen"
105,"Ich habe versucht, die Wörter in einen zu mir passenden Kontext einzubauen"
106,"Wortgruppen gebildet (Gras, Raupe, Hektar, Gemüse), zusammenhängende Wörter (Zahn - Körper, Winter - Garten)"
107,"eine geschichte mit der EEE wörter ausgedacht"
108,"Ich habe mir eine Geschichte mit den EEE Wörtern ausgedacht"
109,"Ich habe mir blockweise eine Geschichte mit zusammenpassenden Wörtern ausgedacht. Bei VVV habe ich die Wörter einfach ignoriert."
110,"Name vergessen, aber jene Strategie, wo man bildlich einen Weg (hier habe ich ein Szenario) mit allen Begriffen sich vorstellt."
111,"Ich habe versucht, die EEE Wörter nacheinander mir im Kopf aufzusagen. Dies hat allerdings nach einer Zeit nicht mehr bei der Bandbreite an Begriffen funktioniert. Zudem habe ich mir bildlich Eselsbrücken vorgestellt, um Begriffe miteinander in einem Szenario zu verbinden"
112,"Manche Wörter können einen Zusammenhang bilden"
113,"Ich habe das Wort nur kurz angeschaut und sobald EEE kam das Wort und die letzten 3-4 EEE Wörter im Kopf ständig wiederholt"
114,"Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln."
115,"Aus den Wörtern habe ich eine Geschichte gesponnen. Auf Grund ihrer Absurdität war sie leicht zu merken. z.B: Der Koala und seine Ehefrau verlieren im Sturm ihren Zahn, der im Auspuff landet."
116,"so schnell wie möglich die wörter wiederholen, die man erinnern sollte"
118,"Ich habe versucht die Wörter zusammenzufügen um ein neues evtl auch sinnloses Wort zu erschaffen. BZW habe ich auch teilweise Geschichten erfunden."
119,"Ich habe mir kurze Geschichten überlegt bzw. versucht, die aufeinanderfolgenden Wörter, die ich mir merken musste, zu kleinen, abstrakten Geschichten zu verknüpfen."
121,"Ich habe bei den VVV-Wörtern meine Aufmerksamkeit schnell abgelenkt."
122,"Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt"
123,"am Anfang habe ich versucht mir eine Geschichte zu überlegen und ähnliche Wortbedeutungen zu finden; nahcdem es zu viele Wörter wurden, habe ich die EEE Wörter immer wieder wiederholt"
124,"Ich habe mir versucht eine Geschichte zu den EEE Wörtern auszudenken, also die Wörter miteinander zu verknüpfen. Die VVV Wörter habe ich nicht in die Geschichte miteingebaut."
125,"Ich habe versucht, die zu erinnernden Wörter in einen Zusammenhang zu bringen (beispielsweise durch eine ausgedachte Geschichte), und immerwieder zu wiederholen"
126,"aktives Blickabwenden nach erscheinen des *VVV* Begriffswiederholen der *EEE* Begriffe im Kopf  und Verknüpfen dieser (meistens 2-5) zu einem visuellen gedanklichen Bild, Versuch, sich spezifische Wörter anstatt Konzepten zu merken, damit Synonyme später nicht fälschlicherweise als ""alt"" wahrgenommen werden"
127,"ich habe mir die Wört mit EEE auf einem Bild (wie ein 3D-Gemälde) platziert und die mit VVV nicht mit drauf gesetzt, sodass sie nicht dort blieben"
128,"Ich habe versucht die Wörter größeren Kategorien zuzuordnen, dieses STartegie aber verworfen, weil diese Kategorein nicht zutrafen"
129,"Ich habe versucht, mir die *EEE*-Wörter bildlich vorzustellen und mehrere Wörter in einem Bild zusammenzufassen. Ich habe ein neues Bild begonnen, sobald das alte zu chaotisch wurde."
130,"Versucht eine Geschichte aus den Wörtern zu erzählen, aber das lief nur für die ersten 20 Wörter"
131,"Geschichten oder Gegensatzpaare bzw. zusammenpassende Begriffe (wie Kuegelegelnk oder Ähnliches)"
132,"Ich habe das Wort kurz behalten, bis EEE oder VVV eingeblendet wurde. Wenn EEE eingeblendet wurde, habe ich das Wort in eine ausgedachte GEschichte mit eingebunden, die ich in meinem Kopf aus allen EEE Wörtern gebildet habe. Wenn VVV eingeblendet wurde, nicht."
133,"Eine Geschichte darüber zu machen und sie wieder im Kopf erzählen"
134,"im kopf immer wieder aufzählen"
135,"Ich habe mir eine Geschichte ausgedacht, in der die EEE-Wörter vorkamen."
136,"ich habe mir einegeschichte ausgedacht unddie neuen wörter die man sich merken sollte mit eingebracht, es war eigentlich sogar sehr entertaining"
137,"mentales Bild/Geschichte mit den Wörtern, die man erinnern soll, generieren"
138,"Ich habe versucht mir aus den Wörtern an die ich mich erinnern sollte eine ""Geschichte"" zu bauen in der sie alle vorkommen"
139,"Potenzielle Verwandtschaft unter den EEE-Wörtern erkennen"
140,"Geschichte ausgedacht, in der nur die zu merkenden Gegenstände enthalten waren"
141,"Ich habe immer 4 *EEE* Wörter zu einem Bild zusammengefügt, z.B. ein Schmied mit einem Seil über der Schulter der in einer Wohnung steht und Nektar trinkt"
142,"Versucht mir Szenarien auszudenken bzw. eine Geschichte mit den EEE Wörtern zu verbinden"
144,"Ich habe aus dne zu eriinernden Wörtern Bilder gebaut, jedes mentale Bild bestand aus 3 zu merkenden Bildern"
145,"Wörter mit EEE wurden im gedächtnis wiederholt, wegschauen nach Präsentation von VVV"
146,"Ich habe versucht, eine Geschichte zu konstruieren"
147,"Ich habe versucht, immer einen Satz aus einigen der EEE Wörter zu bilden und so eine mini Geschichte zu erzählen"
148,"Versucht Sätze zu bilden mit den EEE Wörtern, Dinge die ich mag, heute gesehen habe oder Wörter miteinander verknüpft wie der Elemant schmiedet ein Reptil im Lager und der Junge und das Mädchen mögen Elefanten."
150,"Ich habe mir kurze Geschichten mit jeweils etwa drei Wörtern ausgedacht"
151,"Jeweils 3 EEE Wörter mit einer Geschichte verbunden."
152,"Wörter im Kopf wiederholen"
153,"Mit den zu erinnernden Wörtern habe ich mir eine Geschichte ausgedacht. Im Endeffekt sind 4 verschiedene Szenen entstanden, wobei eine Szene (also eine Reihe an zu erinnernden Wörtern) mit einer Melodie im Kopf beibehalten wurde."
154,"Bei den VVV-Wörtern hbe ich versucht vom Bildschirm wegzuschauen um mich nicht auf diese Wörter fokussieren und habe in meinem Kopf die EEE-Wörter immer wiede wiederholt."
156,"ich habe mir immer 4 EEE Wörter in einem Bild vorgstellt, also bildlich"
157,"Immer wenn das zu vergessende Wort erscheint habe ich direkt versucht, es wirklich komplett zu vergessen. Bei den Wörtern, die ich mir merken soll, habe ich sie sehr oft im Kopf versucht, aufzuzählen."
158,"ich habe eine Geschichte aus den EEE-Wörtern gebildet und dort eben die VVV-Wörter weggelassen"
159,"Gedächnispalast"
160,"falls EEE, einbauen in mentales Bild, falls VVV, an das Wort Vergessen gedacht"
161,"anfangs wiederholte innere Aufzählung der Worte, nachdem es zu viele wurden, habe ich versucht, sie in inhaltliche Gruppen oder in Sätzen zu verbinden"
162,"Visuell vorgestellt"
163,"Ich habe die letzen Wörter (EEE) wiederholt, bis ein neues dazukam. Die VVV habe ich nicht wiederholt und ich habe sofort zur mitte des Bildschirms geschaut."
164,"Ich habe mir eine Geschichte zu den EEE Wörtern ausgedacht."
165,"Zusammenhängende Geschichte/Szenario, um die EEE Wörter zu merken"
166,"Brücken bauen zwischen den EEE-Wörtern"
167,"Bilden von Saetzen mit den zu erinnernden Woertern"
168,"Zum Erinnern an die *EEE*-Wörter habe ich mir Geschichten oder Bilder mit diesen Wörtern ausgedacht"
169,"Ähnliche Wörter miteinander verbinden, sich Wörter bildlich vorstellen, im Raum imaginieren"
170,"Erst mit Wiederholen der Wörter im Kopf. Als es dafür zu viele Wörter wurden, habe ich mir die Objekte, die ich mir merken sollte, bildlich vorgestellt."
171,"Bei EEE-Wörtern habe ich mir mehrmals dazu passende Bilder vorgestellt, bei VVV Wörtern habe ich versucht, stattdessen an davorite EEE-Wörter zu denken"
172,"Wörter im Kopf immer wieder aufgesagt"
173,"Mit den Wörtern eine Geschichte bilden"
174,"EEE-Wörter im Kopf aufgesagt"
175,"Für die *EEE* Wörter: eine Geschichte"
176,"Ich habe versucht mir die Wörter als zusammenhängende Bilder vorzustellen."
177,"Ständiges Wiederholen der Wortkette, dies stieß jedoch recht bald an ihre Grenzen"
178,"die zu erinnernden Wörter im Kopf wiederholt (zumindest zum Teil)"
179,"EEE Wörter wiederholen und in Sätze einbauen, versuchen VVV Wörter zu vergessen"
180,"die *EEE* Wörter ganz oft wiederholt"
181,"Ich habe die Wörter nur kurz angeschaut und dann die Buchstaben abgewartet und bei EEE das Wort im Kopf lange wiederholt, oft in einer Wortreihenfolge mit den letzten EEE Wörtern"
